Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
217,1/1/2016 16:49,1/1/2016 16:53,3186,Grove St PATH,40.71958611647166,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24526,Subscriber,1991,1
2013,1/1/2016 16:54,1/1/2016 17:27,3205,JC Medical Center,40.71653978099194,-74.04963791,3186,Grove St PATH,40.71958611647166,-74.04311746,24519,Subscriber,1950,1
111,1/1/2016 16:57,1/1/2016 16:59,3211,Newark Ave,40.72152515,-74.04630454,3213,Van Vorst Park,40.71848892,-74.04772663,24436,Subscriber,1992,1
109,1/1/2016 16:57,1/1/2016 16:59,3211,Newark Ave,40.72152515,-74.04630454,3213,Van Vorst Park,40.71848892,-74.04772663,24493,Subscriber,1992,1
259,1/1/2016 17:04,1/1/2016 17:08,3186,Grove St PATH,40.71958611647166,-74.04311746,3184,Paulus Hook,40.7141454,-74.0335519,24391,Subscriber,1974,1
617,1/1/2016 17:13,1/1/2016 17:23,3203,Hamilton Park,40.72759597,-74.04424731,3199,Newport Pkwy,40.7287448,-74.0321082,24693,Subscriber,1979,1
206,1/1/2016 17:14,1/1/2016 17:18,3198,Heights Elevator,40.748715945380226,-74.0404433,3197,North St,40.752559,-74.044725,24424,Subscriber,1977,1
1234,1/1/2016 17:17,1/1/2016 17:37,3202,Newport PATH,40.7272235,-74.0337589,3187,Warren St,40.7211236,-74.03805095,24677,Subscriber,1987,2
61,1/1/2016 17:20,1/1/2016 17:21,3213,Van Vorst Park,40.71848892,-74.04772663,3213,Van Vorst Park,40.71848892,-74.04772663,24645,Subscriber,1962,1
185,1/1/2016 17:20,1/1/2016 17:23,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958611647166,-74.04311746,24689,Subscriber,1962,2
1428,1/1/2016 17:21,1/1/2016 17:45,3202,Newport PATH,40.7272235,-74.0337589,3202,Newport PATH,40.7272235,-74.0337589,24701,Subscriber,1990,2
146,1/1/2016 17:22,1/1/2016 17:25,3213,Van Vorst Park,40.71848892,-74.04772663,3211,Newark Ave,40.72152515,-74.04630454,24493,Subscriber,1975,1
125,1/1/2016 17:24,1/1/2016 17:26,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958611647166,-74.04311746,24645,Subscriber,1962,1
174,1/1/2016 17:45,1/1/2016 17:47,3209,Brunswick St,40.7241765,-74.0506564,3209,Brunswick St,40.7241765,-74.0506564,24658,Subscriber,1984,1
715,1/1/2016 17:46,1/1/2016 17:58,3220,5 Corners Library,40.734961020009514,-74.05950308,3193,Lincoln Park,40.7246051,-74.07840595,24495,Subscriber,1989,1
610,1/1/2016 18:14,1/1/2016 18:24,3199,Newport Pkwy,40.7287448,-74.0321082,3203,Hamilton Park,40.72759597,-74.04424731,24693,Subscriber,1979,1
585,1/1/2016 18:20,1/1/2016 18:30,3213,Van Vorst Park,40.71848892,-74.04772663,3199,Newport Pkwy,40.7287448,-74.0321082,24628,Subscriber,1982,2
686,1/1/2016 18:27,1/1/2016 18:38,3209,Brunswick St,40.7241765,-74.0506564,3183,Exchange Place,40.7162469,-74.0334588,24526,Subscriber,1986,1
213,1/1/2016 18:33,1/1/2016 18:36,3183,Exchange Place,40.7162469,-74.0334588,3187,Warren St,40.7211236,-74.03805095,24629,Subscriber,1991,1
588,1/1/2016 18:50,1/1/2016 19:00,3195,Sip Ave,40.73074262530658,-74.06378388,3210,Pershing Field,40.74267714,-74.05178863,24514,Subscriber,1960,1
245,1/1/2016 18:56,1/1/2016 19:00,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074262530658,-74.06378388,24508,Subscriber,1987,2
84,1/1/2016 18:59,1/1/2016 19:00,3185,City Hall,40.7177325,-74.043845,3213,Van Vorst Park,40.71848892,-74.04772663,24587,Subscriber,1971,1
485,1/1/2016 19:07,1/1/2016 19:15,3199,Newport Pkwy,40.7287448,-74.0321082,3187,Warren St,40.7211236,-74.03805095,24716,Customer,,0
713,1/1/2016 19:09,1/1/2016 19:21,3184,Paulus Hook,40.7141454,-74.0335519,3202,Newport PATH,40.7272235,-74.0337589,24438,Subscriber,1983,1
